Email,First_name,Last_name,Course_id,Grades,Marks
vanessa.ferguson@sjsu.edu,Vanessa,Ferguson,MATH101,C,56
zoe.campbell@sjsu.edu,Zoe,Campbell,MATH310,C,61
sydney.boyd@sjsu.edu,Sydney,Boyd,BUS320,A,90
gary.alvarez@sjsu.edu,Gary,Alvarez,CS480,B,78
angel.jackson@sjsu.edu,Angel,Jackson,BUS210,B,83
leon.hamilton@sjsu.edu,Leon,Hamilton,MATH250,A,100
philip.crawford@sjsu.edu,Philip,Crawford,ENG101,A,94
heather.fox@sjsu.edu,Heather,Fox,BUS101,A,96
brandon.sutton@sjsu.edu,Brandon,Sutton,MATH101,A,86
diana.cooper@sjsu.edu,Diana,Cooper,MATH101,B,83
paula.kaur@sjsu.edu,Paula,Kaur,MATH250,D,45
hassan.baker@sjsu.edu,Hassan,Baker,CS480,C,61
victor.snyder@sjsu.edu,Victor,Snyder,CS301,D,53
spencer.carter@sjsu.edu,Spencer,Carter,SCI205,B,76
claire.harris@sjsu.edu,Claire,Harris,SCI205,B,82
harley.hall@sjsu.edu,Harley,Hall,PSY101,B,72
leah.singh@sjsu.edu,Leah,Singh,BUS210,A,95
christine.stone@sjsu.edu,Christine,Stone,MATH250,C,68
brooke.jones@sjsu.edu,Brooke,Jones,MATH201,B,79
sandra.mills@sjsu.edu,Sandra,Mills,BUS101,A,90
daisy.collins@sjsu.edu,Daisy,Collins,CS480,A,91
wesley.lee@sjsu.edu,Wesley,Lee,MATH201,C,62
daniel.mendoza@sjsu.edu,Daniel,Mendoza,PSY101,B,83
violet.ahmed@sjsu.edu,Violet,Ahmed,CS101,C,57
peter.west@sjsu.edu,Peter,West,ENG210,D,45
robin.morgan@sjsu.edu,Robin,Morgan,PSY101,A,94
elena.williams@sjsu.edu,Elena,Williams,BUS401,C,63
jonathan.kim@sjsu.edu,Jonathan,Kim,PSY101,B,74
peter.howard@sjsu.edu,Peter,Howard,MATH201,B,84
alexis.freeman@sjsu.edu,Alexis,Freeman,BUS210,B,80
rosa.mason@sjsu.edu,Rosa,Mason,BUS210,B,79
rosa.maxwell@sjsu.edu,Rosa,Maxwell,ENG210,C,57
marcus.bell@sjsu.edu,Marcus,Bell,SCI101,B,72
richard.ortega@sjsu.edu,Richard,Ortega,MATH310,C,64
brooke.webb@sjsu.edu,Brooke,Webb,CS480,B,83
grant.ward@sjsu.edu,Grant,Ward,MATH310,B,79
james.brooks@sjsu.edu,James,Brooks,CS450,C,55
isabel.vasquez@sjsu.edu,Isabel,Vasquez,CS301,C,61
vanessa.henderson@sjsu.edu,Vanessa,Henderson,SCI101,C,60
tina.stone@sjsu.edu,Tina,Stone,MATH101,B,75
scott.reynolds@sjsu.edu,Scott,Reynolds,CS301,A,94
greg.medina@sjsu.edu,Greg,Medina,CS410,C,69
henry.cooper@sjsu.edu,Henry,Cooper,MATH101,B,72
kayla.reed@sjsu.edu,Kayla,Reed,CS201,C,65
jayden.rodriguez@sjsu.edu,Jayden,Rodriguez,CS350,B,76
victor.hayes@sjsu.edu,Victor,Hayes,BUS320,B,80
leon.lane@sjsu.edu,Leon,Lane,ENG210,B,71
andrea.murphy@sjsu.edu,Andrea,Murphy,ENG210,A,96
serena.hawkins@sjsu.edu,Serena,Hawkins,ENG101,C,55
christopher.kennedy@sjsu.edu,Christopher,Kennedy,ENG210,D,46
yasmine.nguyen@sjsu.edu,Yasmine,Nguyen,CS350,A,86
rebecca.little@sjsu.edu,Rebecca,Little,CS101,A,90
jade.harrison@sjsu.edu,Jade,Harrison,MATH310,C,61
leah.gardner@sjsu.edu,Leah,Gardner,CS350,C,66
reina.clark@sjsu.edu,Reina,Clark,BUS401,C,61
todd.cook@sjsu.edu,Todd,Cook,BUS401,D,49
mike.parker@sjsu.edu,Mike,Parker,ENG210,B,81
leon.ellis@sjsu.edu,Leon,Ellis,CS410,A,86
gregory.bell@sjsu.edu,Gregory,Bell,ENG101,C,60
jessica.snyder@sjsu.edu,Jessica,Snyder,MATH101,D,52
gabriel.little@sjsu.edu,Gabriel,Little,ENG101,B,70
justin.campbell@sjsu.edu,Justin,Campbell,PSY101,A,94
nora.medina@sjsu.edu,Nora,Medina,BUS401,C,67
elena.lopez@sjsu.edu,Elena,Lopez,CS101,C,68
fernando.reyes@sjsu.edu,Fernando,Reyes,BUS320,C,64
sierra.wilson@sjsu.edu,Sierra,Wilson,MATH310,C,61
sean.alvarez@sjsu.edu,Sean,Alvarez,CS101,B,70
peter.ortega@sjsu.edu,Peter,Ortega,CS450,B,72
gavin.brown@sjsu.edu,Gavin,Brown,PSY101,A,92
david.black@sjsu.edu,David,Black,BUS320,B,84
jasmine.holmes@sjsu.edu,Jasmine,Holmes,CS480,B,74
gabriela.palmer@sjsu.edu,Gabriela,Palmer,BUS101,B,79
hailey.martin@sjsu.edu,Hailey,Martin,CS350,D,47
karen.owens@sjsu.edu,Karen,Owens,CS410,A,94
mary.young@sjsu.edu,Mary,Young,BUS210,C,67
trevor.stevens@sjsu.edu,Trevor,Stevens,CS201,D,49
leah.jimenez@sjsu.edu,Leah,Jimenez,MATH250,B,80
sophia.carter@sjsu.edu,Sophia,Carter,BUS320,C,59
kelly.roberts@sjsu.edu,Kelly,Roberts,CS410,D,50
crystal.kelly@sjsu.edu,Crystal,Kelly,MATH310,B,72
colin.reynolds@sjsu.edu,Colin,Reynolds,BUS101,C,58
jack.ferguson@sjsu.edu,Jack,Ferguson,CS101,C,60
chad.murray@sjsu.edu,Chad,Murray,BUS210,A,88
alexis.hawkins@sjsu.edu,Alexis,Hawkins,ENG210,B,70
emma.price@sjsu.edu,Emma,Price,SCI101,B,80
kevin.stewart@sjsu.edu,Kevin,Stewart,BUS320,B,71
ivan.ferguson@sjsu.edu,Ivan,Ferguson,CS201,C,59
luna.rogers@sjsu.edu,Luna,Rogers,BUS401,B,76
nicholas.richardson@sjsu.edu,Nicholas,Richardson,CS301,B,79
ricardo.andrews@sjsu.edu,Ricardo,Andrews,PSY101,D,52
derek.cunningham@sjsu.edu,Derek,Cunningham,BUS210,B,83
melissa.cook@sjsu.edu,Melissa,Cook,SCI101,C,55
leah.robinson@sjsu.edu,Leah,Robinson,BUS101,C,69
zoe.thompson@sjsu.edu,Zoe,Thompson,CS350,C,67
cynthia.wells@sjsu.edu,Cynthia,Wells,CS301,C,58
jordan.hayes@sjsu.edu,Jordan,Hayes,MATH250,B,84
ricardo.gardner@sjsu.edu,Ricardo,Gardner,CS410,B,75
jeff.coleman@sjsu.edu,Jeff,Coleman,BUS320,C,60
shannon.garcia@sjsu.edu,Shannon,Garcia,ENG101,B,72
aaron.parker@sjsu.edu,Aaron,Parker,CS301,B,84
karen.scott@sjsu.edu,Karen,Scott,SCI101,C,69
madison.garcia@sjsu.edu,Madison,Garcia,MATH250,C,63
laura.stevens@sjsu.edu,Laura,Stevens,PSY101,B,82
madison.hamilton@sjsu.edu,Madison,Hamilton,BUS101,D,52
isabel.bennett@sjsu.edu,Isabel,Bennett,ENG210,A,96
austin.harrison@sjsu.edu,Austin,Harrison,ENG210,B,74
leslie.berg@sjsu.edu,Leslie,Berg,MATH201,C,69
sophia.jenkins@sjsu.edu,Sophia,Jenkins,CS101,B,72
nathaniel.gonzalez@sjsu.edu,Nathaniel,Gonzalez,CS410,C,60
maya.ellis@sjsu.edu,Maya,Ellis,ENG101,B,79
robin.torres@sjsu.edu,Robin,Torres,SCI205,C,65
blake.sutton@sjsu.edu,Blake,Sutton,CS450,B,76
fernando.brown@sjsu.edu,Fernando,Brown,ENG101,A,90
lily.black@sjsu.edu,Lily,Black,ENG210,C,66
dillon.hughes@sjsu.edu,Dillon,Hughes,BUS210,C,55
kristen.jordan@sjsu.edu,Kristen,Jordan,PSY101,B,84
isaiah.gray@sjsu.edu,Isaiah,Gray,ENG210,B,83
justin.nelson@sjsu.edu,Justin,Nelson,SCI205,D,47
nadia.henderson@sjsu.edu,Nadia,Henderson,CS480,D,45
grace.nelson@sjsu.edu,Grace,Nelson,BUS320,C,57
shelby.jimenez@sjsu.edu,Shelby,Jimenez,MATH201,A,97
joel.patel@sjsu.edu,Joel,Patel,SCI101,B,74
aiden.aguilar@sjsu.edu,Aiden,Aguilar,CS450,C,63
paula.bishop@sjsu.edu,Paula,Bishop,CS101,A,89
miranda.bryant@sjsu.edu,Miranda,Bryant,CS301,B,81
sierra.lee@sjsu.edu,Sierra,Lee,ENG101,B,73
dylan.stanley@sjsu.edu,Dylan,Stanley,CS450,B,75
heather.rogers@sjsu.edu,Heather,Rogers,BUS210,B,73
paul.peterson@sjsu.edu,Paul,Peterson,SCI205,C,68
kevin.singh@sjsu.edu,Kevin,Singh,CS101,C,61
brianna.castillo@sjsu.edu,Brianna,Castillo,CS350,A,93
harley.kim@sjsu.edu,Harley,Kim,MATH310,A,99
robert.porter@sjsu.edu,Robert,Porter,MATH101,B,73
ivan.gonzalez@sjsu.edu,Ivan,Gonzalez,MATH101,C,61
dawn.morris@sjsu.edu,Dawn,Morris,CS480,A,93
austin.dixon@sjsu.edu,Austin,Dixon,CS480,C,68
nathaniel.rivera@sjsu.edu,Nathaniel,Rivera,PSY101,D,53
juliana.lane@sjsu.edu,Juliana,Lane,MATH201,B,82
eric.turner@sjsu.edu,Eric,Turner,ENG210,B,77
ana.ellis@sjsu.edu,Ana,Ellis,CS350,B,77
crystal.hill@sjsu.edu,Crystal,Hill,BUS101,B,74
isabella.johnson@sjsu.edu,Isabella,Johnson,CS450,B,73
courtney.murphy@sjsu.edu,Courtney,Murphy,SCI205,C,64
josh.gray@sjsu.edu,Josh,Gray,CS480,C,66
maria.gutierrez@sjsu.edu,Maria,Gutierrez,ENG210,B,75
morgan.matthews@sjsu.edu,Morgan,Matthews,CS350,B,70
erica.garcia@sjsu.edu,Erica,Garcia,BUS101,C,63
ian.wilson@sjsu.edu,Ian,Wilson,CS480,B,80
richard.vargas@sjsu.edu,Richard,Vargas,CS301,C,59
zoe.lawrence@sjsu.edu,Zoe,Lawrence,CS301,C,58
jacob.hill@sjsu.edu,Jacob,Hill,BUS401,B,75
evelyn.foster@sjsu.edu,Evelyn,Foster,MATH101,B,81
stephanie.spencer@sjsu.edu,Stephanie,Spencer,ENG101,B,70
mark.hunter@sjsu.edu,Mark,Hunter,BUS210,C,58
angela.andrews@sjsu.edu,Angela,Andrews,CS201,B,83
cole.stone@sjsu.edu,Cole,Stone,SCI101,C,64
philip.mccarthy@sjsu.edu,Philip,McCarthy,SCI101,C,56
sarah.walsh@sjsu.edu,Sarah,Walsh,CS101,D,47
luis.lee@sjsu.edu,Luis,Lee,MATH250,D,51
mike.perry@sjsu.edu,Mike,Perry,SCI101,B,73
ethan.kaur@sjsu.edu,Ethan,Kaur,MATH101,B,82
brian.graham@sjsu.edu,Brian,Graham,CS301,C,59
alisha.griffin@sjsu.edu,Alisha,Griffin,MATH310,D,45
gary.grant@sjsu.edu,Gary,Grant,BUS401,B,73
joseph.jordan@sjsu.edu,Joseph,Jordan,MATH250,B,77
elizabeth.mckinney@sjsu.edu,Elizabeth,McKinney,MATH201,B,71
brenda.knight@sjsu.edu,Brenda,Knight,CS350,A,92
dylan.diaz@sjsu.edu,Dylan,Diaz,ENG210,B,73
gabriela.russell@sjsu.edu,Gabriela,Russell,ENG210,C,62
karen.jordan@sjsu.edu,Karen,Jordan,BUS320,C,57
sebastian.mccarthy@sjsu.edu,Sebastian,McCarthy,ENG101,B,72
charles.hunter@sjsu.edu,Charles,Hunter,MATH310,A,86
kelly.lane@sjsu.edu,Kelly,Lane,MATH101,C,63
rebecca.flores@sjsu.edu,Rebecca,Flores,MATH201,A,100
alexis.harrison@sjsu.edu,Alexis,Harrison,BUS101,C,62
dawn.rogers@sjsu.edu,Dawn,Rogers,MATH201,B,77
leah.cole@sjsu.edu,Leah,Cole,MATH101,C,56
michael.johnson@sjsu.edu,Michael,Johnson,MATH250,C,65
liam.lee@sjsu.edu,Liam,Lee,CS450,A,91
zachary.bennett@sjsu.edu,Zachary,Bennett,ENG210,B,79
liam.sanders@sjsu.edu,Liam,Sanders,CS480,B,84
sydney.green@sjsu.edu,Sydney,Green,CS201,A,93
ayasha.stewart@sjsu.edu,Ayasha,Stewart,CS350,C,58
grant.berg@sjsu.edu,Grant,Berg,CS450,B,78
cole.gonzalez@sjsu.edu,Cole,Gonzalez,CS450,B,78
gabriel.owens@sjsu.edu,Gabriel,Owens,MATH310,B,75
john.romero@sjsu.edu,John,Romero,SCI101,C,67
spencer.hunt@sjsu.edu,Spencer,Hunt,CS201,A,85
vincent.carter@sjsu.edu,Vincent,Carter,MATH310,D,49
garrett.wright@sjsu.edu,Garrett,Wright,CS410,C,69
courtney.cunningham@sjsu.edu,Courtney,Cunningham,BUS210,B,73
luis.rivera@sjsu.edu,Luis,Rivera,MATH250,D,54
casey.stephens@sjsu.edu,Casey,Stephens,CS350,A,92
javier.pierce@sjsu.edu,Javier,Pierce,SCI101,B,75
tyler.park@sjsu.edu,Tyler,Park,SCI205,B,73
leo.jackson@sjsu.edu,Leo,Jackson,ENG101,B,70
cameron.flores@sjsu.edu,Cameron,Flores,CS410,B,73
alexis.park@sjsu.edu,Alexis,Park,CS301,C,61
jack.grant@sjsu.edu,Jack,Grant,CS480,C,64
kim.adams@sjsu.edu,Kim,Adams,CS410,B,84
jennifer.rodriguez@sjsu.edu,Jennifer,Rodriguez,MATH101,A,89
valeria.cooper@sjsu.edu,Valeria,Cooper,CS101,C,66
casey.hunter@sjsu.edu,Casey,Hunter,ENG101,B,72
wesley.mills@sjsu.edu,Wesley,Mills,CS201,C,67
ricardo.cunningham@sjsu.edu,Ricardo,Cunningham,MATH201,B,84
michelle.hunt@sjsu.edu,Michelle,Hunt,ENG210,A,88
victoria.evans@sjsu.edu,Victoria,Evans,ENG210,A,85
vanessa.gonzalez@sjsu.edu,Vanessa,Gonzalez,CS450,D,50
gavin.romero@sjsu.edu,Gavin,Romero,BUS210,A,85
tina.alvarez@sjsu.edu,Tina,Alvarez,CS301,B,78
sierra.hughes@sjsu.edu,Sierra,Hughes,MATH250,A,95
jordan.smith@sjsu.edu,Jordan,Smith,MATH250,B,84
marcus.romero@sjsu.edu,Marcus,Romero,CS301,B,81
elijah.medina@sjsu.edu,Elijah,Medina,BUS320,C,66
robin.morales@sjsu.edu,Robin,Morales,PSY101,B,79
scott.watson@sjsu.edu,Scott,Watson,CS301,B,77
john.little@sjsu.edu,John,Little,CS410,C,58
catherine.sutton@sjsu.edu,Catherine,Sutton,CS480,D,52
ashley.lee@sjsu.edu,Ashley,Lee,CS201,B,83
shannon.knight@sjsu.edu,Shannon,Knight,CS350,B,83
kim.thompson@sjsu.edu,Kim,Thompson,BUS210,B,80
anna.coleman@sjsu.edu,Anna,Coleman,BUS401,C,59
omar.scott@sjsu.edu,Omar,Scott,ENG210,C,67
connor.anderson@sjsu.edu,Connor,Anderson,CS450,B,84
jonathan.coleman@sjsu.edu,Jonathan,Coleman,CS301,C,62
brandon.hernandez@sjsu.edu,Brandon,Hernandez,SCI101,C,67
taylor.jimenez@sjsu.edu,Taylor,Jimenez,CS201,B,74
ella.ryan@sjsu.edu,Ella,Ryan,PSY101,B,70
christopher.gordon@sjsu.edu,Christopher,Gordon,CS480,B,77
alisha.stanley@sjsu.edu,Alisha,Stanley,SCI101,C,65
kiara.graham@sjsu.edu,Kiara,Graham,CS201,C,55
trevor.aguilar@sjsu.edu,Trevor,Aguilar,CS450,C,59
philip.stephens@sjsu.edu,Philip,Stephens,MATH250,C,69
ian.rodriguez@sjsu.edu,Ian,Rodriguez,CS410,C,68
james.phillips@sjsu.edu,James,Phillips,PSY101,D,54
anthony.james@sjsu.edu,Anthony,James,MATH310,C,64
ali.zimmerman@sjsu.edu,Ali,Zimmerman,ENG101,B,72
christina.jenkins@sjsu.edu,Christina,Jenkins,BUS401,B,71
tina.evans@sjsu.edu,Tina,Evans,CS480,D,48
paul.sanders@sjsu.edu,Paul,Sanders,CS350,B,75
felix.jones@sjsu.edu,Felix,Jones,ENG101,B,80
shannon.gibson@sjsu.edu,Shannon,Gibson,BUS320,A,86
scott.king@sjsu.edu,Scott,King,SCI205,B,82
tina.wright@sjsu.edu,Tina,Wright,SCI101,A,97
wesley.park@sjsu.edu,Wesley,Park,CS301,B,73
gabriel.hall@sjsu.edu,Gabriel,Hall,CS350,C,55
fiona.medina@sjsu.edu,Fiona,Medina,CS410,C,69
chad.hunter@sjsu.edu,Chad,Hunter,CS201,B,81
faith.brooks@sjsu.edu,Faith,Brooks,BUS401,A,88
sharon.nichols@sjsu.edu,Sharon,Nichols,CS480,C,59
riley.foster@sjsu.edu,Riley,Foster,MATH201,C,64
grace.cunningham@sjsu.edu,Grace,Cunningham,CS410,A,94
mario.murray@sjsu.edu,Mario,Murray,BUS401,D,45
oscar.hall@sjsu.edu,Oscar,Hall,BUS210,C,64
dylan.armstrong@sjsu.edu,Dylan,Armstrong,SCI101,D,52
carlos.diaz@sjsu.edu,Carlos,Diaz,BUS401,B,73
maya.allen@sjsu.edu,Maya,Allen,BUS401,B,71
sophia.jimenez@sjsu.edu,Sophia,Jimenez,BUS101,B,72
ryan.hill@sjsu.edu,Ryan,Hill,SCI101,B,79
felix.diaz@sjsu.edu,Felix,Diaz,BUS210,D,48
jordan.diaz@sjsu.edu,Jordan,Diaz,CS301,B,81
william.perez@sjsu.edu,William,Perez,SCI101,D,52
mario.lewis@sjsu.edu,Mario,Lewis,BUS210,C,65
lisa.freeman@sjsu.edu,Lisa,Freeman,CS410,B,74
spencer.king@sjsu.edu,Spencer,King,MATH250,A,98
leo.gordon@sjsu.edu,Leo,Gordon,MATH250,D,53
brianna.ellis@sjsu.edu,Brianna,Ellis,MATH101,B,79
dean.warren@sjsu.edu,Dean,Warren,CS480,B,77
brooke.robinson@sjsu.edu,Brooke,Robinson,MATH250,A,89
crystal.nichols@sjsu.edu,Crystal,Nichols,CS410,D,51
layla.kim@sjsu.edu,Layla,Kim,BUS401,C,58
charles.matthews@sjsu.edu,Charles,Matthews,ENG210,C,69
maya.kim@sjsu.edu,Maya,Kim,CS350,B,81
garrett.boyd@sjsu.edu,Garrett,Boyd,PSY101,D,52
derek.turner@sjsu.edu,Derek,Turner,BUS401,B,77
yasmine.morales@sjsu.edu,Yasmine,Morales,CS201,B,79
sofia.howard@sjsu.edu,Sofia,Howard,CS201,B,74
jeff.perez@sjsu.edu,Jeff,Perez,CS301,A,93
reina.matthews@sjsu.edu,Reina,Matthews,CS350,B,84
isabel.coleman@sjsu.edu,Isabel,Coleman,ENG101,C,63
zoe.ramirez@sjsu.edu,Zoe,Ramirez,BUS320,B,73
caroline.matthews@sjsu.edu,Caroline,Matthews,CS350,D,52
natalie.ryan@sjsu.edu,Natalie,Ryan,BUS210,B,72
joseph.vargas@sjsu.edu,Joseph,Vargas,ENG210,B,70
josh.morales@sjsu.edu,Josh,Morales,MATH201,A,93
valeria.warren@sjsu.edu,Valeria,Warren,MATH310,B,72
javier.black@sjsu.edu,Javier,Black,ENG210,C,62
todd.harris@sjsu.edu,Todd,Harris,PSY101,D,54
rosa.fisher@sjsu.edu,Rosa,Fisher,SCI205,A,90
zachary.brown@sjsu.edu,Zachary,Brown,MATH201,B,81
sara.baker@sjsu.edu,Sara,Baker,BUS210,C,55
matt.ahmed@sjsu.edu,Matt,Ahmed,PSY101,C,65
aaron.kaur@sjsu.edu,Aaron,Kaur,CS350,A,93
megan.king@sjsu.edu,Megan,King,CS101,A,89
chris.sanchez@sjsu.edu,Chris,Sanchez,SCI205,D,52
jake.brown@sjsu.edu,Jake,Brown,BUS210,A,100
jeremy.mckinney@sjsu.edu,Jeremy,McKinney,BUS101,B,75
cole.peterson@sjsu.edu,Cole,Peterson,CS480,C,61
daniela.cooper@sjsu.edu,Daniela,Cooper,CS201,C,66
olivia.kumar@sjsu.edu,Olivia,Kumar,SCI101,A,99
ayasha.murray@sjsu.edu,Ayasha,Murray,CS350,C,65
derek.parker@sjsu.edu,Derek,Parker,CS201,B,77
hayley.green@sjsu.edu,Hayley,Green,CS450,B,84
austin.wells@sjsu.edu,Austin,Wells,CS350,B,82
kate.lawrence@sjsu.edu,Kate,Lawrence,MATH310,C,65
susan.stevens@sjsu.edu,Susan,Stevens,CS301,C,57
wesley.butler@sjsu.edu,Wesley,Butler,SCI205,D,46
emily.andrews@sjsu.edu,Emily,Andrews,CS101,C,56
matt.bailey@sjsu.edu,Matt,Bailey,MATH201,B,76
samantha.roberts@sjsu.edu,Samantha,Roberts,PSY101,A,94
kevin.gomez@sjsu.edu,Kevin,Gomez,ENG210,A,96
valeria.ortega@sjsu.edu,Valeria,Ortega,CS350,B,80
casey.owens@sjsu.edu,Casey,Owens,MATH250,C,59
olivia.collins@sjsu.edu,Olivia,Collins,CS101,B,71
sandra.stewart@sjsu.edu,Sandra,Stewart,CS480,B,84
carmen.ferguson@sjsu.edu,Carmen,Ferguson,BUS320,A,97
michael.gibson@sjsu.edu,Michael,Gibson,CS410,C,64
christina.johnson@sjsu.edu,Christina,Johnson,BUS101,A,91
susan.robinson@sjsu.edu,Susan,Robinson,CS350,A,99
dillon.miller@sjsu.edu,Dillon,Miller,CS450,B,78
victor.morris@sjsu.edu,Victor,Morris,ENG101,A,93
chanel.young@sjsu.edu,Chanel,Young,MATH101,A,89
luke.mendoza@sjsu.edu,Luke,Mendoza,CS201,B,76
jonathan.chavez@sjsu.edu,Jonathan,Chavez,CS101,B,76
melissa.campbell@sjsu.edu,Melissa,Campbell,ENG101,B,72
christine.ortiz@sjsu.edu,Christine,Ortiz,BUS101,B,81
evelyn.mitchell@sjsu.edu,Evelyn,Mitchell,BUS320,B,81
samantha.hawkins@sjsu.edu,Samantha,Hawkins,BUS101,A,88
samantha.kumar@sjsu.edu,Samantha,Kumar,CS450,B,81
